,ID,Fuzzy Full Name,age,state
141,2114,chloe lowe,40,other
142,2936,harrison tinfina,36,nsw
143,4660,georgia clarke,25,vic
144,2627,seth sherriff,76,vic
145,2876,green,82,nsw
146,3599,hannah mason,90,qld
147,654,devan riddell,85,other
148,4305,yana noble,53,qld
149,1592,karli campbell,66,vic
150,1414,zali eglinton,94,qld
151,4422,ryan,68,vic
152,1760,nicholas eglinton,56,nsw
153,4508,harrison mcneill,96,qld
154,3107,emiily braithwaite,110,nsw
155,4808,lucy satterley,58,other
156,722,lachlan goldsworthy,86,sa
157,3907,timothy botham,104,vic
158,80,blake white,106,sa
159,1054,benjamin capel,115,qld
160,317,amber nicolakopoulos,33,sa
161,370,isabella lowe,47,nsw
162,4612,samuel manson,78,vic
163,4337,blake steed,36,qld
164,2887,brody stearnes,80,vic
165,2104,olivia leong,42,nsw
166,622,joshua avdic,104,nsw
167,764,devan clarke,118,nsw
168,3326,jarryd george,92,qld
169,4475,william reid,113,nsw
170,1697,andie george,75,wa
171,4404,nicholas commons,26,sa
172,3780,ethan hand,83,vic
173,636,adam vaszocz,76,vic
174,2965,tiarna harrington,118,nsw
175,683,oscar zdanowicz,79,vic
176,4169,luke dixon,53,vic
177,1399,joel,114,nsw
178,2449,jarrod green,64,vic
179,3724,jacob beatton,38,nsw
180,4294,alexandra melham,33,wa
181,2379,jacqueline malinauskas,40,vic
182,2445,ella campain,34,vic
183,3171,jamie fernando,104,other
184,1695,abbey malin,39,vic
185,240,seth jolly,76,qld
186,3327,ella browne,76,qld
187,478,jack collinson,42,nsw
188,2924,tarnee fitzpatrick,29,qld
189,708,mila campbell,123,nsw
190,4664,czarnik,64,qld
191,380,kyle badawee,122,qld
192,3057,sophie paine,80,nsw
193,846,connor camp,105,vic
194,4447,imogen hope,47,wa
195,4492,hayden,46,nsw
196,3661,hudson chandler,29,sa
197,1350,james reid,45,qld
198,4504,jasmine camens,122,vic
199,4905,elki fenwick,113,qld
200,299,dylan blacklow,85,nsw
201,2193,keaton green,120,nsw
202,3532,samuel tunstall,40,wa
203,2989,anton goode,116,vic
204,2862,emiily vimpany,106,qld
205,311,noah maier,122,nsw
206,680,jacqueline abbondandola,55,other
207,1755,jayden white,65,nsw
208,4052,saskia roberti,55,vic
209,4901,annabella goldsworthy,36,nsw
210,117,nicholas huxley,32,nsw
211,3571,emiily wilson-wheeler,63,qld
212,3065,robbie lowe,56,nsw
213,2532,david nguyen,90,vic
214,4252,stephanie tiller,61,vic
215,1187,kira kyriacou,42,vic
216,2049,emma webb,33,qld
217,614,lewis ryan,65,vic
218,452,riley kelley,85,sa
219,4135,simone meaney,31,nsw
220,1741,bryce laverty,29,nsw
221,332,caleb quill,120,nsw
222,1821,dale laundy,76,qld
223,3178,natalia maczkowiack,41,vic
224,1042,alexa-rose nguyen,41,other
225,1927,michael reid,119,qld
226,239,liam jolly,31,qld
227,251,benedict everett,37,nsw
228,2601,alexandra thurlow,66,nsw
229,335,noah reid,93,vic
230,198,isabella spicer,111,wa
231,4452,meg newel,63,nsw
232,263,john ryan,40,vic
233,932,amber webb,77,sa
234,2461,angus godfrey,119,vic
235,684,miller matthews,56,nsw
236,4646,india green,52,nsw
237,4152,lachlan rawlings,98,nsw
238,4290,alec mckerlie,35,vic
239,1463,hayden marinos,52,vic
240,3603,isabella tinsley,62,vic
241,4872,lachlan white,43,vic
242,3146,georgia lionis,33,vic
243,1396,lara stanley,86,qld
244,1101,ruby webb,55,nsw
245,1002,joshua fauser,42,nsw
246,3962,simone campbell,52,vic
247,1674,keely harrington,91,nsw
248,2282,erin delacy,112,vic
249,489,brandon strangway,102,nsw
250,3683,alicia hyland,76,vic
251,1217,maddison mahon,86,qld
252,2031,roisin white,112,nsw
253,4238,zachariah nadels,76,qld
254,1868,amelia graham-jones,124,other
255,422,talia rees,44,nsw
256,1000,victoria zbierski,52,nsw
257,134,delaney,91,nsw
258,3730,shanaye navarro,103,vic
259,3997,jessica beams,120,nsw
260,1326,madison campbell,76,vic
261,58,jayde glass,108,vic
262,3981,john tuke,67,qld
263,4423,meg everett,58,nsw
264,4178,caitlin basey,113,nsw
265,1377,david stapenell,53,qld
266,3846,kirra watkin,54,nsw
267,4472,william piazza,109,nsw
268,1524,lily krishnan,56,qld
269,2179,thomas kinnane,54,nsw
270,1751,isabella block,113,other
271,2666,laura hefford,76,sa
272,485,patrick george,87,nsw
273,3651,lucas white,108,wa
274,1268,reid,57,vic
275,173,andrew renfrey,75,nsw
276,755,deakyn blake,70,nsw
277,2691,ellorah verco,90,other
278,3659,alexander vincent,109,qld
279,2342,lauren hilton,109,wa
280,3936,dakota jeffries,119,wa
281,4409,joshua needham,111,qld
282,1148,emiily reid,120,nsw
283,982,allard,75,nsw
284,951,juliana clarke,27,nsw
285,4677,tate spagnoletti,104,qld
286,798,henry ryan,31,qld
287,1227,robert carbone,110,qld
288,2509,joshua browne,115,vic
289,462,sienna ryan,56,nsw
290,1091,mikaela stanfield,33,qld
291,2607,thomas leong,57,qld
292,144,olivia white,30,wa
293,1427,brigette rankine,49,qld
294,4,jayde crouch,99,wa
295,4149,chevonne montalvo,62,vic
296,2942,mikayla nguyen,121,nsw
297,1356,rory jehle,51,nsw
298,2764,emiily green,93,vic
299,1027,luke hursey,102,other
300,1308,mitchell crossman,49,vic
301,4803,annabelle romeyn,89,vic
302,4357,ethan coleman,59,nsw
303,876,benjamin sokic,124,vic
304,3085,jasper tsialafos,102,nsw
305,1561,roberta bishop,98,nsw
306,3813,amy mason,103,other
307,3459,madison chandler,31,nsw
308,1617,flynn mason,113,wa
309,3721,gemaley meadows,101,vic
310,4365,georgia glover-smith,45,wa
311,743,daniel white,37,sa
312,3514,tanyshah wiemann,60,nsw
313,3996,georgia maynard,54,qld
314,2697,joshua lowe,112,sa
315,4569,cheree bowerman,115,qld
316,4478,joel reid,48,qld
317,1822,maddison fullgrabe,113,qld
318,282,flynn van heythuysen,46,nsw
319,4654,samantha stroeh,106,other
320,819,jessica bastiaans,97,qld
321,1425,alysha reid,30,vic
322,447,april mcgregor,70,wa
323,3518,alexander priest,82,qld
324,1576,luke dinh,112,vic
325,4695,christian dietrich,107,wa
326,2095,ben armiento,76,qld
327,1050,nikki neik,40,wa
328,4765,riley godfrey,79,nsw
329,4818,alexandra yiannoulis,45,vic
330,3023,bridget hand,85,nsw
331,4106,zakariah ryan,121,nsw
332,2191,joshua arribas,44,other
333,4282,maxin jolly,91,wa
334,1551,lucy rees,101,nsw
335,3934,kai rachwal,114,wa
336,3211,isaac lowe,36,vic
337,3230,jacqueline macphail,89,wa
338,1667,robert george,84,nsw
339,83,joshua stanley,86,nsw
340,3079,benjamin donaldson,91,nsw
341,3911,ruby warrior,69,vic
342,2506,teagan wreford,83,sa
343,801,chelsea mccarthy,32,nsw
344,268,phoenix mason,61,sa
345,113,gabrielle langer,44,wa
346,1132,brianna dixon,46,other
347,2386,mitchell hunting,119,qld
348,2487,joanna george,71,qld
349,580,natalia mccarthy,40,other
350,515,ruby bellchambers,76,other
351,4317,scott buterfield,101,qld
352,2394,alisha kaderes,122,vic
353,1327,emma copperstone,79,nsw
354,1172,eleanor luckman,32,wa
355,3560,tai matthews,112,qld
356,2755,robert maczkowiack,121,nsw
357,2107,harrison snelling,83,nsw
358,3685,benjamin lowe,99,nsw
359,4856,jack wang,27,nsw
360,4500,zali mcgregor,75,other
361,3694,kylee pennell,124,sa
362,1114,max stanley,37,nsw
363,86,aiden son,84,other
364,1753,brianna ranson,76,vic
365,655,keeley heron,105,nsw
366,2791,ella hawes,114,nsw
367,1276,abbey parfilo,35,vic
368,255,dante campbell,60,vic
369,1385,joel bishop,76,other
370,1005,micah green,33,wa
371,4572,lachlan reid,64,vic
372,4510,noah white,120,wa
373,2251,joshua crouch,54,sa
374,3901,shane goldsworthy,113,wa
375,4870,carlin garcia,100,nsw
376,179,vincent braithwaite,50,vic
377,4502,scott rudd,64,nsw
378,2012,riley white,30,qld
379,3715,jessica dixon,96,qld
380,4442,kadin crosswell,83,vic
381,4672,naomi bishop,47,vic
382,2047,belinda de gennaro,103,nsw
383,3581,ethan hoover,32,nsw
384,509,benjamin green,76,sa
385,1430,willow gowling,55,vic
386,661,caitlin portlock,113,other
387,468,connor arda,49,wa
388,896,eleanor klemm,47,vic
389,1984,travis whale,92,sa
390,3394,emiily finlay,124,qld
391,545,tara plovanic,64,vic
392,2999,paris negrin,62,qld
393,1941,jack campbell,76,vic
394,4787,vanessa morrison,29,nsw
395,1859,angie arbuckle,35,nsw
396,2548,portia lette,44,wa
397,3769,jasper herbert,60,sa
398,45,adam coleman,75,nsw
399,2880,emiily paterson,40,vic
400,27,angelina campbell,71,nsw
401,1441,harry blake,84,qld
402,323,peta tarsissi,60,nsw
403,4766,samara campbell,123,wa
404,2242,michael shepherd,94,nsw
405,3168,hayley bishop,103,wa
406,2908,sam plessnitzer,44,nsw
407,737,hannah liaudinskas,111,sa
408,1357,tiarna lapienis,27,nsw
409,3384,george sherriff,59,qld
410,2488,bree boase,103,nsw
411,2838,jessica wiseman,60,nsw
412,4082,caitlin dominey,48,nsw
413,1641,catherine dolzan,80,nsw
414,3682,rupert drzezdzon,124,vic
415,3843,talia bramble,29,vic
416,1485,joshua lock,75,vic
417,4666,john-paul parr,44,wa
418,2638,jordan mcmullen,95,other
419,4376,thomas drougas,57,qld
420,2643,jayde eneberg,49,nsw
421,3393,reid,111,nsw
422,4155,georgina wedmaier,83,qld
423,2388,joshua millar,66,other
424,2302,lachlan pacey,53,other
425,3398,kelsey dearing,84,sa
426,4275,isobel burnell,34,vic
427,4757,dillon cranefield,64,qld
428,2101,tahlia herbert,45,other
429,1493,ebonie quinton,46,qld
430,3790,melinda tuckwell,28,qld
431,2682,taylor bevis,97,nsw
432,4988,seth tauj,75,qld
433,7,jasmine silvestro,68,nsw
434,1298,taliah ryan,29,vic
435,2009,george meaney,92,vic
436,3310,tristan lombardi,96,other
437,2781,andrew madigan,37,sa
438,4335,elana wiechec,105,sa
439,3397,indiana goode,82,vic
440,1141,jack huddy,124,vic
441,4528,jean-claude ryan,109,nsw
442,4627,juliana watkin,53,qld
443,1119,rachel george,33,nsw
444,2165,holly matthews,63,nsw
445,250,lauren shack,65,other
446,1230,kate tantschev,37,qld
447,4038,nathan cannell,124,nsw
448,3430,sophie thredgold,41,sa
449,3001,joel badger,45,qld
450,1304,sarah paterson,123,wa
451,4952,madalyn korfia,55,qld
452,4455,alexa-rose vatavuk,62,vic
453,4270,bethany finlay,58,vic
454,4713,channing haak,105,wa
455,1711,andrew wang,98,nsw
456,283,jenna shew,118,vic
457,4165,emma araujo,110,vic
458,2086,chelsea sitarenos,77,qld
459,4956,kyle grbovac,42,vic
460,3442,william frahn,74,nsw
461,3883,amber webb,32,qld
462,4186,georgia willing,54,vic
463,1294,jared riddell,81,nsw
464,4551,joshua stubbs,66,nsw
465,1273,kane markijevic,93,nsw
466,1405,sophie tertipis,75,nsw
467,3210,zachary croker,61,nsw
468,4350,aneka milburn,107,qld
469,4732,robert tiller,65,wa
470,1809,sophie colquhoun,113,nsw
471,973,mackenzie reid,69,vic
472,2644,sean bammant,59,wa
473,4836,maddison weidenhofer,104,qld
474,14,raquel lodge,96,wa
475,3615,alessandra van groesen,76,sa
476,4006,mackenzi dogg,53,vic
477,2005,finn eckersley-maslin,88,nsw
478,3445,joshua white,63,nsw
479,2283,madeleine nevin,101,sa
480,3155,benjamin campbell,37,nsw
481,1238,joel londesborough,76,sa
482,2793,braiden parr,28,vic
483,542,tiahnee clarke,45,nsw
484,3844,luke wotton,46,other
485,3552,bella clarke,62,vic
486,3754,joshua moody,66,qld
487,4814,ben conrick,48,nsw
488,4348,malakai neville,51,qld
489,699,felicity english-obst,82,nsw
490,2978,natalia bajic,87,wa
491,407,riley rees,54,wa
492,663,dean wiseman,50,qld
493,1154,gracie crook,88,nsw
494,554,domenique alves,75,qld
495,2395,jacinta bastiaans,76,qld
496,531,kyle rudd,65,other
497,1893,sophie creagh,102,vic
498,813,tanar huxley,54,vic
499,1416,isabella coffey,38,nsw
500,2405,makenzi white,89,wa
501,1715,holly drayson,44,qld
502,37,lachlan-john snelling,58,vic
503,3184,jarod feleppa,63,nsw
504,1699,kate brock,111,vic
505,219,hugh dorsey,124,qld
506,552,cameron wilkins,66,sa
507,3128,jairus compton,28,wa
508,1239,konstantinos white,80,wa
509,3718,hannah white,40,nsw
510,1989,jordan tuckwell,51,vic
511,4164,jayde lazaroff,89,nsw
512,741,hannah candida,103,vic
513,1648,lily hick,98,nsw
514,2551,ned ryan,122,vic
515,4112,lachlan bottroff,60,nsw
516,1823,jackson zilm,85,nsw
517,3188,jenna alderson,78,nsw
518,794,kristen godfrey,54,sa
519,4049,shane landau,81,vic
520,4854,michael darch,111,nsw
521,388,ewan whiteley,40,nsw
522,1200,sara bibrowicz,112,nsw
523,288,georgia browne,28,vic
524,3389,madeline boyes,48,vic
525,2940,samantha harrington,77,vic
526,4843,thomas butt,93,nsw
527,30,xavier campbell,60,nsw
528,1374,lachlan balasubramaniam,51,nsw
529,2881,emiily paterson,36,qld
530,4893,harry gaden,47,vic
531,4718,tara hem,116,nsw
532,1257,chelsea clarke,101,nsw
533,1384,ruby mason,115,vic
534,2299,lachlan gaskin,65,vic
535,1343,jazz campbell,85,qld
536,539,macy donaldson,76,vic
537,1918,abbey milburn,61,qld
538,408,charles rees,53,vic
539,2074,emma dent,34,vic
540,1829,imogen goldsworthy,58,vic
541,2957,bradley shepherd,108,other
542,2606,emiily benjamin,75,vic
543,1274,mason,78,nsw
544,3289,megan jessup,123,nsw
545,4898,aidan dohse,105,other
546,1407,nicholas huxley,48,vic
547,4020,callum wheatley,59,nsw
548,2508,luke seng,26,vic
549,4212,ryan sherrington,56,qld
550,104,daniella steinbacher,88,other
551,4015,lily poskey,103,nsw
552,2125,chloe white,91,nsw
553,3323,bailee vearing,50,nsw
554,1704,bradley pegg,105,qld
555,4697,alexandra mcneill,116,nsw
556,2952,matteus monda,120,nsw
557,589,bennier,33,qld
558,4663,ellouise domingo,110,nsw
559,3614,zachary thurlow,101,nsw
560,1378,liam cowle,44,nsw
561,4392,lochlan reifferscheidt,122,vic
562,3399,toby fernando,86,vic
563,71,connor tromp,96,qld
564,3956,teneille matthews,70,qld
565,1978,emiily millar,86,vic
566,2130,isobel dreckow,114,qld
567,4563,zachary white,113,vic
568,923,eliza koziol,30,nsw
569,4075,rhys dugdale,123,nsw
570,3086,blakeston lock,65,wa
571,1044,riley lamprey,39,vic
572,1362,collinson,114,vic
573,1911,olivia gully,109,other
574,1075,georgia simmonds,101,nsw
575,3709,william reid,55,vic
576,3414,alysha alderman,54,nsw
577,1194,daniel gaden,40,qld
578,249,lachlan shepherd,116,nsw
579,1910,campbell jeffries,43,nsw
580,82,alice godfrey,33,vic
581,3886,joshua mason,85,vic
582,2675,kobe buckinghan,76,nsw
583,2174,abbey green,94,vic
584,4319,hannah bansemer,86,nsw
585,65,benjamin moody,106,vic
586,344,mitchell les,81,nsw
587,3684,luke boyle,54,nsw
588,3551,talena richmond,62,nsw
589,664,tyron mahon,77,nsw
590,322,ayla mccarthy,70,qld
591,377,joselyn moody,86,sa
592,1299,dylan patafta,114,vic
593,2983,lucy morrison,97,nsw
594,4959,jessica kusel,52,qld
595,1090,alexandra grainger,99,vic
596,2673,olivia thorpe,81,vic
597,437,mikayla heans,73,qld
598,3678,dixon,120,nsw
599,3395,connor carbone,115,nsw
600,1207,kyle clarke,109,other
601,2500,mia pyper,83,other
602,1501,bailey haack,107,nsw
603,2430,lara white,105,nsw
604,3818,madison plane,27,nsw
605,2490,jack mayman,34,vic
606,1482,tara green,38,nsw
607,3973,katie chorley,86,vic
608,2046,kaitlin bowerman,110,nsw
609,227,tayah kiss,50,vic
610,3539,tuscany stephenson,78,wa
611,2964,logan bishop,124,qld
612,1152,samuel wilkins,56,nsw
613,611,ella wisby,32,wa
614,1502,niamh tuckwell,115,nsw
615,871,benjamin limbert,122,nsw
616,1158,adela lomman,26,vic
617,2499,samara reid,122,nsw
618,1635,roberta laing,55,vic
619,3048,jack colquhoun,58,nsw
620,1922,alana warnock,45,vic
621,991,millie clarke,108,nsw
622,2954,noah wiseman,60,nsw
623,2930,ashley webb,57,wa
624,860,daniel belperio,76,nsw
625,1903,rachel burford,104,qld
626,2799,sophie otto-coats,55,wa
627,4061,melinda trent,100,qld
628,1234,samuel heidrich,53,other
629,1297,noah scott-jackson,43,nsw
630,770,samara,107,other
631,2028,zachary minter,66,nsw
632,1953,coby lukeman,120,nsw
633,275,joshua berryman,117,vic
634,1935,charlotte,93,vic
635,2679,thomas brain,39,qld
636,3337,dylan reimers,103,qld
637,4168,ruolle-ivanov,58,vic
638,1792,layla ban,104,wa
639,3516,miller browne,57,other
640,2348,adam tuckwell,28,nsw
641,3913,cain lowe,118,nsw
642,3953,isabella concannon,83,sa
643,1495,lachlan cicconi,104,vic
644,861,chantelle seppelt,87,vic
645,1627,caitlin bevis,64,nsw
646,1303,thomas boileau,113,nsw
647,4682,teagan richmond,103,nsw
648,2451,stephanie baptist,54,nsw
649,1754,shai leon,101,nsw
650,4066,matthew campbell,76,nsw
651,1562,kaitlin matthews,28,vic
652,341,lushia reid,113,other
653,4792,julia meadows,108,nsw
654,409,beau eyles,121,nsw
655,330,helena haskett,68,qld
656,4140,patrick tomney,85,qld
657,2670,kydan webb,73,wa
658,72,keira lowe,34,qld
659,3074,aleisha beadle,108,other
660,2150,charles tkachuk,62,nsw
661,2715,lewis green,71,nsw
662,1062,dale dietrich,38,other
663,2075,natasha lohmann,114,nsw
664,2932,zachary kermeen,111,qld
665,2077,sophie paterson,39,nsw
666,350,jayden death,36,vic
667,289,riley paddon,73,vic
668,467,caitlin berry,84,qld
669,345,emiily rankine,118,vic
670,2843,lily reid,107,wa
671,4954,james krollig,81,nsw
672,1670,cameron kouimanis,57,qld
673,2043,lewis boyle,112,nsw
674,1761,jai hartkop,109,sa
675,662,lily kradolfer,74,vic
676,367,reganne sanakidis,62,vic
677,1878,tyler clarke,52,qld
678,2626,thomas snoad,45,vic
679,1331,mikayla mainero,100,vic
680,1847,luke karlsen,118,vic
681,1686,james clarke,118,vic
682,3083,darcy hamblin,110,wa
683,2486,mitchell ramush,76,sa
684,2241,sara wilkins,62,qld
685,4590,shandril tinfina,36,nsw
686,1209,courtney hyland,73,vic
687,2052,joshua,62,qld
688,867,emiily green,43,nsw
689,1421,gillian kaddatz,59,qld
690,4005,maddison longo,119,qld
691,4647,elizabeth malcolmson,69,other
692,1899,stubbs,86,vic
693,3782,tiffany,38,qld
694,1921,michael degasperi,29,vic
695,4496,hari warnock,89,other
696,524,ethan white,83,wa
697,2678,cooper hammer,56,qld
698,2998,chevonne purser,78,qld
699,4477,blake ryan,39,nsw
700,2654,bailey lu-bow,71,vic
701,1565,anthony bansgrove,84,vic
702,3170,skye heenan,33,vic
703,4397,emmet reichardt,77,vic
704,1265,olivia girdler,40,qld
705,2256,delaney kiernan,106,other
706,1373,talyah mccarthy,103,nsw
707,4998,alicia fergus,27,sa
708,672,sophie rivera,41,qld
709,3520,alyssa artis,102,qld
710,3133,caitlin mitton,98,vic
711,4743,benjamin menzies,67,nsw
712,716,hannah birkin,110,nsw
713,1137,emiily mac onochie,80,sa
714,4354,simon clarke,61,vic
715,1838,thomas rielly,52,nsw
716,917,carly georgetti,50,qld
717,2717,abbey coleman,114,nsw
718,588,sana nguyen,124,vic
719,2991,aiden maynard,28,nsw
720,958,jye humphreys,57,vic
721,4658,jack danby,25,vic
722,3164,william markellos,47,qld
723,4761,matthew dibble,90,vic
724,3431,harry rollins,100,wa
725,847,riley spicer,30,nsw
726,1349,daniella boothroyd,64,other
727,4693,archie white,68,sa
728,1864,ruby donaldson,110,other
729,3328,koteschel,81,vic
730,3800,catherine gawthrop,109,qld
731,2605,oliver jennions,74,nsw
732,4755,jake mcneill,78,nsw
733,4254,marleigh verner,74,other
734,3608,jessica winfield,48,sa
735,287,kira hand,35,vic
736,1662,travis egan,75,nsw
737,305,timothy elphick,85,vic
738,516,ruby hulley,104,wa
739,4230,jason fenwick,69,qld
740,4821,ethan fitzpatrick,120,vic
741,3371,thomas alderson,86,nsw
742,3062,faith lowe,110,nsw
743,3768,tara radulescu,28,nsw
744,3993,ruby ackermans,115,nsw
745,1174,lily browne,25,qld
746,4188,andrew mason,92,nsw
747,4102,joshua donaldson,76,qld
748,3579,megan scripps,27,sa
749,4849,holly campbell,108,nsw
750,2749,priest,118,nsw
751,4011,james dixon,49,qld
752,3113,bailey pascoe,28,nsw
753,4614,nicholas bruinewoud,62,nsw
754,1682,kiara starega,70,nsw
755,1023,harry mason,59,wa
756,4501,xani caruana,40,qld
757,1703,jett white,110,wa
758,2017,jordan george,29,vic
759,2572,bridget dudgeon,50,nsw
760,2726,charlie thorpe,62,other
761,815,holly campbell,33,qld
762,619,harrison burford,108,qld
763,3179,edward marshman,72,wa
764,4101,daniel ballantyne,64,other
765,3975,deakin shepherd,123,other
766,868,lewis hursey,116,vic
767,1489,matthew brock,74,nsw
768,4298,mitchell wheatley,60,qld
769,4115,jake simmonds,113,nsw
770,3728,laura colthorpe,75,vic
771,3294,shane milburn,94,vic
772,3772,isabella lail,47,qld
773,959,zac hand,27,sa
774,3019,blayke browne,103,vic
775,1736,jye dearing,30,qld
776,2681,lucy van de maele,47,vic
777,1031,ben chorny,76,qld
778,1862,brydon macgowan,111,other
779,3339,katharine white,111,wa
780,4368,jacob white,92,nsw
781,4002,zara mason,51,nsw
782,4616,joshua green,89,vic
783,4948,dylan czoloszynski,50,wa
784,4586,webb,33,vic
785,21,abbey hoffman,117,nsw
786,1117,nicholas mcfadden,122,qld
787,1452,samuel quilty,42,qld
788,4229,harley kreymborg,69,other
789,1656,pino matthews,123,vic
790,26,natalee campbell,25,wa
791,2511,wil araya,47,wa
792,4266,christopher george,50,nsw
793,4111,hannah campbell,71,qld
794,2124,isabella petrikowski,49,nsw
795,900,kyle felmingham,112,nsw
796,2444,hannah povey,37,wa
797,4687,samantha papoutsis,98,vic
798,494,elisha gibb,75,nsw
799,3667,alicia lenartowicz,95,vic
800,3270,blade mccarthy,81,nsw
801,2585,harvey roselli,76,vic
802,339,samuel kontopoulos,37,vic
803,1151,courtney gilbertson,33,qld
804,1255,stella rogan,55,qld
805,1126,lydia mcglinn,40,other
806,3587,emiily white,73,vic
807,3246,isabelle mccarthy,58,sa
808,264,jessica painton,81,nsw
809,440,james alderson,111,qld
810,4048,lewis dorsey,76,vic
811,1811,jack campbell,95,other
812,3966,james truman,50,other
813,400,emiily paine,49,vic
814,3670,ash mayer,116,vic
815,1034,briony dudley,76,vic
816,1317,laura,104,nsw
817,4858,joshua quinzi,91,vic
818,4575,jordan rosa,106,qld
819,3639,taylah weller,113,nsw
820,3169,madison mcgregor,101,wa
821,2907,tiarna cannell,122,wa
822,525,emiily lock,89,nsw
823,2355,luke rollins,100,qld
824,1415,amber braunack,82,other
825,3341,riley grubb,120,vic
826,1958,emiily gruener,46,vic
827,3949,belinda de la cruz,122,vic
